Distance,Time,yyyy-mm-dd_HH-MM-SS
58836.1251,178.1074,2024-07-10_19-49-00
58928.7596,179.1519,2024-07-10_19-49-01
58961.1297,180.1536,2024-07-10_19-49-02
58946.7741,181.1783,2024-07-10_19-49-03
58963.0659,182.1696,2024-07-10_19-49-04
58957.039,183.212,2024-07-10_19-49-05
58950.4973,184.2152,2024-07-10_19-49-06
58976.6619,185.2258,2024-07-10_19-49-07
58949.8851,186.2349,2024-07-10_19-49-08
58953.9365,187.26,2024-07-10_19-49-09
58957.3138,188.2646,2024-07-10_19-49-10
58974.3233,189.2782,2024-07-10_19-49-11
58966.6762,190.3021,2024-07-10_19-49-12
58948.0218,191.3131,2024-07-10_19-49-13
58924.0659,192.3366,2024-07-10_19-49-14
58971.3062,193.3458,2024-07-10_19-49-15
58978.5613,194.379,2024-07-10_19-49-16
58954.5907,195.3737,2024-07-10_19-49-17
58948.0949,196.4031,2024-07-10_19-49-18
58943.5431,197.4139,2024-07-10_19-49-19
58944.2392,198.4341,2024-07-10_19-49-20
58940.6258,199.4629,2024-07-10_19-49-21
58980.4231,200.4594,2024-07-10_19-49-22
58956.1871,201.4933,2024-07-10_19-49-24
58930.2365,202.4826,2024-07-10_19-49-25
58925.1477,203.5207,2024-07-10_19-49-26
58948.9135,204.5264,2024-07-10_19-49-27
58945.3539,205.5525,2024-07-10_19-49-28
58960.3644,206.5443,2024-07-10_19-49-29
58931.8954,207.5694,2024-07-10_19-49-30
58939.6758,208.5913,2024-07-10_19-49-31
58963.6964,209.6017,2024-07-10_19-49-32
58954.3818,210.6358,2024-07-10_19-49-33
58986.6038,211.6318,2024-07-10_19-49-34
58963.2531,212.6422,2024-07-10_19-49-35
58931.073,213.6666,2024-07-10_19-49-36
58952.9958,214.691,2024-07-10_19-49-37
58931.8782,215.6984,2024-07-10_19-49-38
58915.3081,216.7218,2024-07-10_19-49-39
58943.4245,217.7171,2024-07-10_19-49-40
58961.7114,218.7569,2024-07-10_19-49-41
58947.2417,219.7613,2024-07-10_19-49-42
58979.7172,220.7832,2024-07-10_19-49-43
58952.1005,221.7928,2024-07-10_19-49-44
58938.7453,222.7961,2024-07-10_19-49-45
58965.6343,223.8359,2024-07-10_19-49-46
58984.8639,224.8256,2024-07-10_19-49-47
58952.9941,225.857,2024-07-10_19-49-48
58963.632,226.868,2024-07-10_19-49-49
58972.1112,227.898,2024-07-10_19-49-50
58811.7163,228.8944,2024-07-10_19-49-51
58959.1848,229.9108,2024-07-10_19-49-52
58928.2997,230.9206,2024-07-10_19-49-53
58892.8777,231.9583,2024-07-10_19-49-54
58974.0281,232.9503,2024-07-10_19-49-55
58950.861,233.9908,2024-07-10_19-49-56
58927.4876,234.9827,2024-07-10_19-49-57
58946.6592,235.9971,2024-07-10_19-49-58
58881.148,237.0228,2024-07-10_19-49-59
58937.0301,238.0341,2024-07-10_19-50-00
58948.5367,239.0581,2024-07-10_19-50-01
58934.2659,240.089,2024-07-10_19-50-02
58943.597,241.0827,2024-07-10_19-50-03
58951.0572,242.1131,2024-07-10_19-50-04
58996.7559,243.1072,2024-07-10_19-50-05
58896.1443,244.1361,2024-07-10_19-50-06
58961.383,245.1509,2024-07-10_19-50-07
58935.1012,246.1529,2024-07-10_19-50-08
58952.4427,247.183,2024-07-10_19-50-09
58970.328,248.1954,2024-07-10_19-50-10
58922.2272,249.2216,2024-07-10_19-50-11
58984.0266,250.2174,2024-07-10_19-50-12
58971.4448,251.2303,2024-07-10_19-50-13
58915.2574,252.2627,2024-07-10_19-50-14
58920.9541,253.2753,2024-07-10_19-50-15
58961.8914,254.3007,2024-07-10_19-50-16
58972.6776,255.3038,2024-07-10_19-50-17
58941.7277,256.3131,2024-07-10_19-50-18
58963.0407,257.3391,2024-07-10_19-50-19
58959.1659,258.3629,2024-07-10_19-50-20
58965.0516,259.3568,2024-07-10_19-50-21
58949.3741,260.3844,2024-07-10_19-50-22
58958.0019,261.3888,2024-07-10_19-50-23
58940.743,262.4006,2024-07-10_19-50-24
58935.1613,263.4414,2024-07-10_19-50-25
58960.0768,264.4435,2024-07-10_19-50-26
58945.3947,265.4706,2024-07-10_19-50-27
58953.5071,266.4619,2024-07-10_19-50-28
58966.5864,267.5037,2024-07-10_19-50-30
58955.5614,268.4957,2024-07-10_19-50-31
58956.8022,269.5366,2024-07-10_19-50-32
58957.1923,270.5374,2024-07-10_19-50-33
58946.0516,271.5486,2024-07-10_19-50-34
58940.0762,272.5681,2024-07-10_19-50-35
58947.4304,273.5919,2024-07-10_19-50-36
58940.5537,274.5877,2024-07-10_19-50-37
58964.5838,275.6273,2024-07-10_19-50-38
58941.9722,276.6274,2024-07-10_19-50-39
58867.7147,277.6477,2024-07-10_19-50-40
58957.4531,278.6584,2024-07-10_19-50-41
58949.9346,279.6621,2024-07-10_19-50-42
58961.2278,280.6994,2024-07-10_19-50-43
58956.5394,281.6949,2024-07-10_19-50-44
58961.5644,282.7246,2024-07-10_19-50-45
58954.4611,283.732,2024-07-10_19-50-46
58942.4817,284.741,2024-07-10_19-50-47
58963.7625,285.768,2024-07-10_19-50-48
58956.2592,286.7928,2024-07-10_19-50-49
58954.1946,287.7849,2024-07-10_19-50-50
58972.8872,288.8271,2024-07-10_19-50-51
58951.2784,289.8227,2024-07-10_19-50-52
58867.7902,290.839,2024-07-10_19-50-53
58979.0682,291.8624,2024-07-10_19-50-54
58953.8357,292.8889,2024-07-10_19-50-55
58941.654,293.8812,2024-07-10_19-50-56
58960.4237,294.916,2024-07-10_19-50-57
58965.0517,295.9202,2024-07-10_19-50-58
58983.6738,296.9485,2024-07-10_19-50-59
58965.9703,297.9443,2024-07-10_19-51-00
58964.3536,298.9576,2024-07-10_19-51-01
58964.4605,299.9718,2024-07-10_19-51-02
58895.4382,300.9939,2024-07-10_19-51-03
58973.7586,302.0092,2024-07-10_19-51-04
58971.8293,303.0197,2024-07-10_19-51-05
58944.6726,304.0472,2024-07-10_19-51-06
58958.0084,305.0758,2024-07-10_19-51-07
58794.5566,306.0647,2024-07-10_19-51-08
58976.108,307.0944,2024-07-10_19-51-09
58954.9701,308.0934,2024-07-10_19-51-10
58959.7034,309.137,2024-07-10_19-51-11
58952.2874,310.1339,2024-07-10_19-51-12
58939.7114,311.1517,2024-07-10_19-51-13
58928.7013,312.1743,2024-07-10_19-51-14
58969.2362,313.1839,2024-07-10_19-51-15
58960.8422,314.1978,2024-07-10_19-51-16
58943.3861,315.2273,2024-07-10_19-51-17
58928.2916,316.2241,2024-07-10_19-51-18
58937.1854,317.2518,2024-07-10_19-51-19
58935.3675,318.276,2024-07-10_19-51-20
58939.3984,319.2759,2024-07-10_19-51-21
58960.2579,320.28,2024-07-10_19-51-22
58971.3316,321.3073,2024-07-10_19-51-23
58956.3699,322.3191,2024-07-10_19-51-24
58953.0068,323.3367,2024-07-10_19-51-25
58977.831,324.3403,2024-07-10_19-51-26
58931.261,325.3567,2024-07-10_19-51-27
58945.5429,326.3711,2024-07-10_19-51-28
58934.93,327.3951,2024-07-10_19-51-29
58971.5435,328.4084,2024-07-10_19-51-30
58949.828,329.4238,2024-07-10_19-51-31
58951.5455,330.4538,2024-07-10_19-51-32
58948.8596,331.4524,2024-07-10_19-51-33
58940.9795,332.4656,2024-07-10_19-51-34
58957.2736,333.4984,2024-07-10_19-51-36
58954.0863,334.522,2024-07-10_19-51-37
58958.1909,335.5187,2024-07-10_19-51-38
58941.8249,336.5492,2024-07-10_19-51-39
58964.083,337.549,2024-07-10_19-51-40
58951.9452,338.5578,2024-07-10_19-51-41
58938.8435,339.5931,2024-07-10_19-51-42
Inf,340.605,2024-07-10_19-51-43
59074.4394,342.6381,2024-07-10_19-51-45
58979.1023,343.6629,2024-07-10_19-51-46
58879.0285,344.6589,2024-07-10_19-51-47
58985.0525,345.6864,2024-07-10_19-51-48
58932.6909,346.7157,2024-07-10_19-51-49
58929.1202,347.7093,2024-07-10_19-51-50
58944.8536,349.5219,2024-07-10_19-51-52
58908.0283,349.7473,2024-07-10_19-51-52
58899.7109,350.7734,2024-07-10_19-51-53
58941.1052,351.7685,2024-07-10_19-51-54
58946.1668,352.809,2024-07-10_19-51-55
58947.4227,353.8061,2024-07-10_19-51-56
58924.793,354.8184,2024-07-10_19-51-57
58911.639,355.859,2024-07-10_19-51-58
58967.5136,356.8477,2024-07-10_19-51-59
58924.7719,357.8801,2024-07-10_19-52-00
58935.9252,358.9039,2024-07-10_19-52-01
58943.8191,359.8938,2024-07-10_19-52-02
58947.2173,360.9208,2024-07-10_19-52-03
58936.0386,361.9329,2024-07-10_19-52-04
58939.9716,362.9641,2024-07-10_19-52-05
58926.5104,363.957,2024-07-10_19-52-06
58943.9671,364.987,2024-07-10_19-52-07
58862.9431,365.9902,2024-07-10_19-52-08
58934.3302,367.0011,2024-07-10_19-52-09
58924.4101,368.0273,2024-07-10_19-52-10
58930.5966,369.0505,2024-07-10_19-52-11
58917.6681,370.0497,2024-07-10_19-52-12
