Distance,Time,,,,Time,
27.0185,284.88234,0.76851,,,,
47.6627,285.64585,0.76351,,,,
38.7011,286.41482,0.76897,,,,
54.2707,287.18686,0.77204,,,,
42.4374,287.95358,0.76672,,,,
3.44724,288.7247,0.77112,,,,
15.2814,289.48814,0.76344,,,,
51.1088,290.25513,0.76699,,,,
28.7255,291.02048,0.76535,,,,
35.2193,291.78965,0.76917,,,,
42.9462,292.54865,0.759,,,,
26.4223,293.31677,0.76812,,,,
43.8191,294.08546,0.76869,,,,
38.4487,294.84587,0.76041,,,,
47.1578,295.61915,0.77328,,,,
27.5696,296.3767,0.75755,,,,
26.5699,297.15489,0.77819,,,,
19.9564,297.91268,0.75779,,,,
42.8814,298.68463,0.77195,,,,
34.4733,299.45818,0.77355,,,,
32.4196,300.21926,0.76108,,,,
34.4859,300.98283,0.76357,,,,
35.5582,301.75051,0.76768,,,,
41.7944,302.52117,0.77066,,,,
57.3539,303.2814,0.76023,,,,
41.0733,304.05684,0.77544,,,,
41.7206,304.81407,0.75723,,,,
44.0459,305.57651,0.76244,,,,
41.3769,306.3535,0.77699,,,,
37.0237,307.11066,0.75716,,,,
41.314,307.88592,0.77526,,,,
41.9182,308.6464,0.76048,,,,
-1.52019,309.41991,0.77351,,,,
34.2566,310.18904,0.76913,,,,
45.008,310.94478,0.75574,,,,
23.8061,311.71134,0.76656,,,,
32.6813,312.47867,0.76733,,,,
51.8314,313.24615,0.76748,,,,
38.9899,314.01807,0.77192,,,,
37.5681,314.78769,0.76962,,,,
40.5892,315.55619,0.7685,,,,
41.3762,316.31277,0.75658,,,,
36.288,317.07864,0.76587,,,,
34.5094,317.85268,0.77404,,,,
37.7235,318.61269,0.76001,,,,
13.8502,319.37401,0.76132,,,,
35.476,320.15046,0.77645,,,,
39.2033,320.91934,0.76888,,,,
32.1327,321.67561,0.75627,,,,
37.8391,322.4528,0.77719,,,,
34.59,323.2092,0.7564,,,,
53.961,323.97924,0.77004,,,,
54.8182,324.74813,0.76889,,,,
55.461,325.5119,0.76377,,,,
28.8668,326.28299,0.77109,,,,
40.9672,327.04043,0.75744,,,,
28.5525,327.81001,0.76958,,,,
28.403,328.58201,0.772,,,,
38.2112,329.35279,0.77078,,,,
27.8341,330.11054,0.75775,,,,
18.0996,330.87959,0.76905,,,,
44.8293,331.64986,0.77027,,,,
34.6006,332.42028,0.77042,,,,
52.1271,333.1725,0.75222,,,,
33.0754,333.94445,0.77195,,,,
37.0676,334.70774,0.76329,,,,
36.7628,335.4761,0.76836,,,,
36.1721,336.24491,0.76881,,,,
37.2669,337.01666,0.77175,,,,
37.3142,337.77335,0.75669,,,,
43.253,338.54647,0.77312,,,,
46.0102,339.31326,0.76679,,,,
51.2446,340.07817,0.76491,,,,
43.7176,340.84945,0.77128,,,,
35.387,341.60378,0.75433,,,,
26.541,342.37113,0.76735,,,,
52.5251,343.14098,0.76985,,,,
40.1456,343.90946,0.76848,,,,
27.6667,344.67666,0.7672,,,,
38.562,345.4477,0.77104,,,,
36.2292,346.21773,0.77003,,,,
36.8197,346.97987,0.76214,,,,
43.9621,347.7458,0.76593,,,,
32.8812,348.50911,0.76331,,,,
55.4225,349.28171,0.7726,,,,
25.9799,350.03929,0.75758,,,,
54.4158,350.81452,0.77523,,,,
38.982,351.58122,0.7667,,,,
37.9901,352.34697,0.76575,,,,
34.3453,353.12047,0.7735,,,,
63.7254,353.87563,0.75516,,,,
44.0866,354.64312,0.76749,,,,
44.7757,355.41246,0.76934,,,,
35.7487,356.18092,0.76846,,,,
43.7882,356.95105,0.77013,,,,
30.0701,357.72225,0.7712,,,,
28.5034,358.48315,0.7609,,,,
41.2834,359.24829,0.76514,,,,
29.1896,360.02186,0.77357,,,,
27.2425,360.78617,0.76431,,,,
36.1383,361.54844,0.76227,,,,
41.1706,362.31177,0.76333,,,,
31.3429,363.08368,0.77191,,,,
37.0963,363.84532,0.76164,,,,
37.3464,364.62078,0.77546,,,,
40.7292,365.38515,0.76437,,,,
24.1911,366.1603,0.77515,,,,
39.2806,366.92041,0.76011,,,,
28.6242,367.67957,0.75916,,,,
30.003,368.44905,0.76948,,,,
37.3552,369.2236,0.77455,,,,
54.0346,369.99073,0.76713,,,,
46.9225,370.75723,0.7665,,,,
55.8871,371.5185,0.76127,,,,
54.0367,372.29173,0.77323,,,,
53.3368,373.05844,0.76671,,,,
55.8187,373.81315,0.75471,,,,
28.1766,374.59522,0.78207,,,,
39.6988,375.35717,0.76195,,,,
52.8106,376.11381,0.75664,,,,
41.3204,376.88325,0.76944,,,,
58.528,377.64951,0.76626,,,,
52.7864,378.4192,0.76969,,,,
41.562,379.19403,0.77483,,,,
43.9322,379.94913,0.7551,,,,
50.7162,380.71256,0.76343,,,,
24.0411,381.48331,0.77075,,,,
32.7022,382.25502,0.77171,,,,
24.5985,383.02601,0.77099,,,,
33.7792,383.78265,0.75664,,,,
46.9692,384.54905,0.7664,,,,
27.6798,385.33486,0.78581,,,,
38.5273,386.09131,0.75645,,,,
26.5979,386.84572,0.75441,,,,
44.4811,387.61071,0.76499,,,,
41.6279,388.38581,0.7751,,,,
37.689,389.15179,0.76598,,,,
29.5817,389.91219,0.7604,,,,
9.99865,390.67835,0.76616,,,,
35.4447,391.45796,0.77961,,,,
36.2058,392.2223,0.76434,,,,
46.2559,392.97758,0.75528,,,,
32.3586,393.75174,0.77416,,,,
26.0175,394.52118,0.76944,,,,
44.7721,395.27672,0.75554,,,,
53.8245,396.04837,0.77165,,,,
37.8236,396.81911,0.77074,,,,
47.3445,397.59063,0.77152,,,,
57.054,398.34754,0.75691,,,,
29.5337,399.11965,0.77211,,,,
41.645,399.89083,0.77118,,,,
17.0252,400.6611,0.77027,,,,
44.2967,401.42646,0.76536,,,,
33.2503,402.18118,0.75472,,,,
44.6385,402.95171,0.77053,,,,
41.8871,403.72301,0.7713,,,,
32.9145,404.49814,0.77513,,,,
33.882,405.25556,0.75742,,,,
50.1654,406.02182,0.76626,,,,
25.6301,406.78768,0.76586,,,,
31.8161,407.55634,0.76866,,,,
35.9992,408.31905,0.76271,,,,
40.2807,409.09668,0.77763,,,,
18.4793,409.85862,0.76194,,,,
40.423,410.61976,0.76114,,,,
34.5382,411.39379,0.77403,,,,
18.9758,412.1646,0.77081,,,,
41.3975,412.9337,0.7691,,,,
23.8689,413.68718,0.75348,,,,
36.2863,414.45336,0.76618,,,,
25.9255,415.22017,0.76681,,,,
53.606,415.99352,0.77335,,,,
40.146,416.76293,0.76941,,,,
40.4208,417.53358,0.77065,,,,
34.7554,418.29087,0.75729,,,,
40.0789,419.05432,0.76345,,,,
59.6454,419.82383,0.76951,,,,
37.3811,420.59779,0.77396,,,,
48.4028,421.36767,0.76988,,,,
41.4061,422.1209,0.75323,,,,
52.341,422.89466,0.77376,,,,
21.4462,423.66487,0.77021,,,,
41.775,424.43155,0.76668,,,,
44.7055,425.19235,0.7608,,,,
45.1682,425.96337,0.77102,,,,
19.615,426.72988,0.76651,,,,
34.8779,427.49566,0.76578,,,,
53.0491,428.26297,0.76731,,,,
46.4546,429.03043,0.76746,,,,
34.9444,429.79781,0.76738,,,,
27.6096,430.55909,0.76128,,,,
41.6489,431.33031,0.77122,,,,
46.791,432.09965,0.76934,,,,
42.8715,432.86563,0.76598,,,,
31.7262,433.62911,0.76348,,,,
32.7449,434.39036,0.76125,,,,
30.4894,435.15931,0.76895,,,,
21.0968,435.93669,0.77738,,,,
39.3147,436.69863,0.76194,,,,
21.705,437.46099,0.76236,,,,
33.5192,438.22122,0.76023,,,,
32.7225,438.99836,0.77714,,,,
36.2215,439.76282,0.76446,,,,
30.7749,440.52765,0.76483,,,,
20.826,441.2885,0.76085,,,,
34.5132,442.05906,0.77056,,,,
15.3259,442.83106,0.772,,,,
24.9148,443.59755,0.76649,,,,
17.7092,444.36219,0.76464,,,,
31.7049,445.12511,0.76292,,,,
44.8737,445.89601,0.7709,,,,
27.5804,446.65366,0.75765,,,,
43.169,447.42386,0.7702,,,,
3.81967,448.1909,0.76704,,,,
15.3881,448.95425,0.76335,,,,
41.8874,449.71997,0.76572,,,,
23.2902,450.49203,0.77206,,,,
39.1635,451.26267,0.77064,,,,
35.5031,452.03308,0.77041,,,,
44.5082,452.78413,0.75105,,,,
37.1284,453.55399,0.76986,,,,
37.7851,454.32739,0.7734,,,,
28.5053,455.08722,0.75983,,,,
